Monture_ID,Marque,Modele,Type,Forme,Materiau,Couleur,Taille,Prix (€),Style,Stock
MON27,Ray-Ban,RB226,Invisible,Rectangulaire,Plastique,Rouge,60-17-138,96.3,Luxe,49
MON28,Chanel,PJ240,Invisible,Ronde,Metal,Rouge,53-14-141,399.74,Casual,48
MON29,Ray-Ban,Mt926,Semi-cerclee,Aviateur,Metal,Argent,60-14-138,238.89,Casual,25
MON30,Oakley,AB136,Invisible,Papillon,Plastique,Dore,58-17-148,64.08,Business,30
MON31,Persol,px456,Semi-cerclee,Aviateur,Plastique,Argent,50-16-149,451.83,Luxe,19
MON32,Chanel,sL446,Semi-cerclee,Ronde,Plastique,Noir,50-16-137,274.77,Luxe,11
MON33,Ray-Ban,Ou994,Semi-cerclee,Papillon,Plastique,Rouge,52-19-133,261.05,Business,31
MON34,Ray-Ban,hD039,Invisible,Papillon,Metal,Bleu,55-18-132,173.27,Sport,29
MON35,Oakley,XJ599,Cerclee,Rectangulaire,Titane,Noir,52-20-133,237.69,Luxe,34
MON36,Persol,Iu290,Cerclee,Papillon,Titane,Rouge,59-19-143,451.19,Casual,14
MON37,Persol,ml768,Cerclee,Ronde,Titane,Dore,56-18-132,230.67,Casual,18
MON38,Oakley,qO664,Invisible,Aviateur,Titane,Bleu,52-14-148,478.86,Sport,5
MON39,Chanel,IE782,Invisible,Aviateur,Metal,Argent,59-18-149,196.99,Business,2
MON40,Gucci,sg105,Invisible,Ronde,Titane,Rouge,54-19-133,129.52,Sport,29
MON41,Persol,bV694,Semi-cerclee,Aviateur,Metal,Bleu,52-16-150,124.88,Sport,41
MON42,Persol,Ta528,Invisible,Papillon,Metal,Bleu,52-17-149,316.86,Luxe,12
MON43,Ray-Ban,Mz259,Cerclee,Papillon,Plastique,Rouge,53-17-137,134.88,Sport,1
MON44,Persol,wG505,Invisible,Aviateur,Plastique,Transparent,58-15-134,287.9,Business,28
MON45,Ray-Ban,Xh314,Cerclee,Papillon,Plastique,Bleu,55-16-134,277.49,Luxe,22
MON46,Persol,Gm949,Invisible,Papillon,Titane,Noir,50-15-144,202.77,Sport,0
MON47,Ray-Ban,AF949,Cerclee,Ronde,Titane,Argent,53-17-136,279.41,Business,50
MON48,Persol,AE402,Semi-cerclee,Papillon,Titane,Dore,59-17-140,201.76,Luxe,46
MON49,Gucci,Ro707,Cerclee,Ronde,Metal,Noir,55-20-138,487.45,Luxe,39
MON50,Gucci,qT518,Cerclee,Aviateur,Metal,Transparent,55-17-131,139.11,Sport,0
MON51,Chanel,Im853,Invisible,Aviateur,Metal,Dore,56-18-136,462.89,Business,25
MON52,Chanel,XV876,Invisible,Papillon,Metal,Rouge,54-17-149,192.71,Luxe,34
MON53,Gucci,jg165,Semi-cerclee,Papillon,Plastique,Argent,53-15-134,249.35,Sport,25
MON54,Persol,dz409,Semi-cerclee,Papillon,Titane,Rouge,51-14-137,288.5,Sport,5
MON55,Ray-Ban,DP267,Invisible,Ronde,Metal,Rouge,53-19-143,185.41,Business,14
MON56,Persol,av056,Invisible,Ronde,Titane,Argent,54-14-139,180.23,Sport,33
MON57,Ray-Ban,Kg297,Cerclee,Aviateur,Plastique,Argent,57-17-132,282.8,Sport,39
MON58,Chanel,AW702,Semi-cerclee,Aviateur,Metal,Argent,51-15-133,493.62,Casual,28
MON59,Gucci,Us878,Cerclee,Rectangulaire,Plastique,Noir,60-19-138,383.66,Casual,0
MON60,Persol,RH299,Semi-cerclee,Aviateur,Titane,Rouge,57-15-148,486.84,Sport,0
MON61,Ray-Ban,Ch465,Semi-cerclee,Ronde,Titane,Argent,54-15-144,253.8,Sport,42
MON62,Persol,rE210,Cerclee,Rectangulaire,Metal,Dore,57-20-143,135.14,Sport,0
MON63,Oakley,Gp666,Cerclee,Rectangulaire,Metal,Noir,53-18-150,304.3,Luxe,24
MON64,Oakley,dI760,Cerclee,Rectangulaire,Metal,Argent,55-20-136,114.44,Sport,40
MON65,Persol,cq332,Semi-cerclee,Papillon,Plastique,Argent,58-16-131,442.67,Casual,50
MON66,Gucci,ZB149,Cerclee,Rectangulaire,Titane,Dore,55-18-136,77.91,Sport,24
MON67,Gucci,OM132,Invisible,Ronde,Titane,Dore,54-14-145,253.71,Luxe,6
MON68,Chanel,yz188,Semi-cerclee,Papillon,Plastique,Noir,58-15-130,389.72,Business,35
MON69,Persol,kL832,Invisible,Papillon,Titane,Argent,53-20-146,297.08,Luxe,8
MON70,Chanel,UN362,Semi-cerclee,Papillon,Titane,Noir,54-14-137,178.97,Casual,11
MON71,Oakley,WK670,Cerclee,Papillon,Plastique,Noir,56-15-149,88.85,Business,21
MON72,Oakley,TO703,Semi-cerclee,Aviateur,Metal,Dore,54-17-142,172.99,Casual,17
MON73,Oakley,CY004,Semi-cerclee,Aviateur,Titane,Bleu,56-17-149,398.07,Business,37
MON74,Persol,he947,Invisible,Rectangulaire,Titane,Transparent,50-18-150,98.53,Luxe,21
MON75,Persol,Bg237,Semi-cerclee,Ronde,Plastique,Rouge,55-19-138,233.62,Luxe,48
MON76,Gucci,fE083,Invisible,Rectangulaire,Titane,Dore,50-16-146,193.98,Sport,25
MON77,Gucci,qX728,Cerclee,Aviateur,Metal,Dore,50-16-150,342.76,Luxe,40
MON78,Chanel,SR123,Semi-cerclee,Papillon,Plastique,Transparent,53-19-134,71.24,Casual,45
MON79,Oakley,jG048,Cerclee,Ronde,Plastique,Dore,53-19-133,393.02,Luxe,42
MON80,Gucci,Wl209,Cerclee,Ronde,Titane,Argent,58-14-133,284.47,Casual,13
MON81,Gucci,my451,Semi-cerclee,Papillon,Titane,Bleu,50-19-146,133.01,Sport,40
MON82,Ray-Ban,kT027,Cerclee,Aviateur,Titane,Rouge,53-15-145,348.18,Sport,50
MON83,Gucci,Cz404,Cerclee,Aviateur,Plastique,Argent,56-20-148,311.87,Sport,34
MON84,Persol,Nr438,Semi-cerclee,Papillon,Titane,Rouge,60-20-131,450.13,Luxe,29
MON85,Persol,Lh482,Semi-cerclee,Papillon,Titane,Rouge,60-19-132,216.17,Sport,30
MON86,Ray-Ban,Nr683,Invisible,Ronde,Metal,Rouge,52-18-133,318.24,Sport,12
MON87,Oakley,su996,Cerclee,Rectangulaire,Plastique,Noir,55-16-130,219.82,Luxe,27
MON88,Chanel,ra739,Semi-cerclee,Papillon,Metal,Rouge,53-16-145,488.31,Business,31
MON89,Ray-Ban,CS354,Invisible,Ronde,Titane,Dore,54-18-150,127.65,Luxe,31
MON90,Oakley,ml304,Invisible,Aviateur,Metal,Dore,55-18-146,57.2,Luxe,3
MON91,Ray-Ban,Kt081,Semi-cerclee,Ronde,Titane,Bleu,59-15-142,236.87,Luxe,16
MON92,Gucci,za283,Cerclee,Ronde,Plastique,Bleu,51-20-150,151.58,Casual,42
MON93,Persol,oi805,Cerclee,Rectangulaire,Metal,Rouge,59-16-142,89.14,Business,28
MON94,Ray-Ban,Fc860,Cerclee,Rectangulaire,Titane,Bleu,51-16-142,299.99,Luxe,41
MON95,Gucci,QH626,Semi-cerclee,Ronde,Plastique,Bleu,51-19-133,376.85,Sport,39
MON96,Oakley,oh649,Semi-cerclee,Rectangulaire,Metal,Bleu,55-20-139,161.5,Business,47
MON97,Oakley,yv905,Semi-cerclee,Papillon,Metal,Bleu,58-14-141,294.74,Casual,13
MON98,Chanel,rg402,Invisible,Papillon,Metal,Argent,57-14-131,189.98,Business,15
MON99,Oakley,va436,Invisible,Papillon,Plastique,Dore,55-16-136,479.64,Sport,1
MON100,Chanel,CT277,Cerclee,Papillon,Titane,Argent,60-19-136,242.23,Casual,50
MON101,Oakley,OX814,Cerclee,Rectangulaire,Metal,Argent,57-17-150,388.78,Casual,1
MON102,Gucci,yG032,Cerclee,Papillon,Metal,Rouge,51-18-146,384.24,Business,11
MON103,Persol,qw971,Cerclee,Rectangulaire,Plastique,Bleu,52-19-143,385.83,Business,27
MON104,Chanel,Ro552,Semi-cerclee,Aviateur,Metal,Rouge,55-19-142,175.69,Luxe,19
MON105,Oakley,Zg390,Cerclee,Rectangulaire,Titane,Bleu,50-16-133,316.8,Casual,22
MON106,Gucci,Ql127,Semi-cerclee,Aviateur,Plastique,Bleu,52-15-145,243.11,Sport,33
MON107,Ray-Ban,iS526,Semi-cerclee,Ronde,Plastique,Argent,51-18-137,145.48,Luxe,22
MON108,Oakley,eV437,Semi-cerclee,Aviateur,Titane,Rouge,58-18-132,276.33,Luxe,47
MON109,Oakley,Kz510,Semi-cerclee,Aviateur,Plastique,Transparent,53-14-148,122.85,Luxe,25
MON110,Gucci,dZ483,Semi-cerclee,Ronde,Titane,Bleu,54-16-138,282.56,Casual,48
MON111,Persol,Bp495,Semi-cerclee,Rectangulaire,Titane,Bleu,52-17-130,221.43,Luxe,33
MON112,Chanel,QK294,Invisible,Aviateur,Metal,Dore,53-16-149,179.69,Business,23
MON113,Ray-Ban,un261,Invisible,Rectangulaire,Metal,Dore,52-20-147,298.04,Business,6
MON114,Persol,oD274,Invisible,Papillon,Plastique,Bleu,52-15-145,75.34,Casual,36
MON115,Ray-Ban,iP822,Invisible,Papillon,Plastique,Noir,60-18-137,462.64,Business,41
MON116,Ray-Ban,yp160,Cerclee,Aviateur,Plastique,Bleu,51-18-134,319.6,Luxe,28
MON117,Ray-Ban,lt161,Invisible,Papillon,Metal,Argent,52-16-142,301.7,Casual,7
MON118,Ray-Ban,NT786,Semi-cerclee,Ronde,Plastique,Transparent,58-16-140,448.71,Casual,9
MON119,Persol,GC166,Invisible,Rectangulaire,Plastique,Argent,56-18-131,291.59,Business,23
MON120,Ray-Ban,YP449,Invisible,Aviateur,Titane,Transparent,56-19-148,158.37,Sport,24
MON121,Oakley,yv623,Cerclee,Aviateur,Metal,Noir,53-15-146,135.6,Casual,41
MON122,Persol,lG344,Semi-cerclee,Ronde,Plastique,Dore,51-14-147,463.29,Sport,34
MON123,Gucci,qr683,Invisible,Rectangulaire,Plastique,Dore,58-18-140,239.74,Casual,46
MON124,Ray-Ban,aH212,Invisible,Papillon,Titane,Noir,50-18-140,128.66,Business,5
MON125,Ray-Ban,BR276,Invisible,Aviateur,Titane,Transparent,53-16-149,133.23,Casual,26
MON126,Persol,fI792,Invisible,Aviateur,Titane,Bleu,50-17-132,200.98,Luxe,13
MON127,Ray-Ban,Rj451,Semi-cerclee,Ronde,Titane,Noir,56-16-132,294.32,Business,49
MON128,Ray-Ban,EK898,Semi-cerclee,Aviateur,Titane,Noir,60-15-149,422.03,Casual,20
MON129,Oakley,Xc465,Invisible,Papillon,Titane,Bleu,58-18-141,468.37,Business,39
MON130,Chanel,Rn717,Cerclee,Aviateur,Plastique,Argent,50-14-137,351.88,Business,29
MON131,Oakley,xs564,Cerclee,Ronde,Plastique,Bleu,52-20-150,420.48,Sport,5
MON132,Persol,yH663,Cerclee,Ronde,Titane,Bleu,55-17-144,161.64,Casual,45
MON133,Oakley,sc986,Cerclee,Aviateur,Metal,Rouge,52-16-130,244.77,Sport,13
MON134,Oakley,OU720,Invisible,Rectangulaire,Plastique,Transparent,53-19-130,129.5,Sport,10
MON135,Chanel,uY313,Invisible,Ronde,Titane,Noir,52-20-143,464.91,Luxe,28
MON136,Oakley,RH878,Invisible,Papillon,Plastique,Dore,60-18-147,190.34,Sport,31
MON137,Persol,dt584,Cerclee,Ronde,Plastique,Transparent,59-17-136,94.37,Casual,21
MON138,Chanel,NC766,Invisible,Rectangulaire,Plastique,Bleu,58-20-147,424.39,Casual,0
MON139,Ray-Ban,ET019,Cerclee,Ronde,Titane,Argent,57-16-136,447.1,Luxe,9
MON140,Oakley,mT323,Invisible,Papillon,Titane,Bleu,50-14-130,433.32,Casual,32
MON141,Persol,Tr690,Cerclee,Papillon,Titane,Transparent,54-18-149,114.58,Business,4
MON142,Oakley,mN844,Semi-cerclee,Ronde,Titane,Rouge,54-14-133,463.06,Business,10
MON143,Chanel,vq308,Invisible,Rectangulaire,Titane,Noir,54-14-136,390.9,Sport,46
MON144,Ray-Ban,yt576,Invisible,Rectangulaire,Plastique,Rouge,50-19-148,481.44,Casual,1
MON145,Gucci,Ft088,Semi-cerclee,Rectangulaire,Metal,Rouge,60-15-133,340.33,Sport,36
MON146,Oakley,Ze365,Invisible,Ronde,Plastique,Noir,56-16-148,307.24,Casual,48
MON147,Ray-Ban,jO150,Semi-cerclee,Ronde,Metal,Dore,60-15-135,112.97,Casual,5
MON148,Gucci,gb582,Semi-cerclee,Ronde,Plastique,Noir,58-20-134,402.84,Business,44
MON149,Ray-Ban,rR094,Semi-cerclee,Rectangulaire,Titane,Bleu,58-19-148,398.93,Casual,1
MON150,Gucci,Cb020,Semi-cerclee,Papillon,Titane,Transparent,52-16-132,491.97,Casual,26
MON151,Chanel,rk178,Semi-cerclee,Aviateur,Plastique,Argent,57-18-140,396.84,Casual,20
MON152,Persol,og377,Semi-cerclee,Rectangulaire,Titane,Dore,60-15-132,391.12,Business,47
MON153,Persol,uC054,Cerclee,Rectangulaire,Plastique,Dore,50-17-140,340.2,Sport,50
MON154,Chanel,Gg640,Cerclee,Ronde,Titane,Dore,59-19-134,360.73,Sport,41
MON155,Chanel,Ug920,Cerclee,Rectangulaire,Plastique,Bleu,51-15-137,271.7,Business,17
MON156,Gucci,Sp677,Invisible,Aviateur,Metal,Bleu,51-17-131,294.22,Sport,19
MON157,Chanel,VS046,Semi-cerclee,Ronde,Plastique,Dore,60-16-148,370.81,Casual,47
MON158,Gucci,jm307,Invisible,Aviateur,Metal,Rouge,55-18-137,407.38,Sport,29
MON159,Ray-Ban,Tb597,Invisible,Papillon,Titane,Rouge,60-16-136,118.21,Casual,10
MON160,Persol,Yw596,Invisible,Aviateur,Plastique,Dore,60-14-148,88.33,Luxe,38
MON161,Oakley,LX309,Semi-cerclee,Aviateur,Titane,Rouge,58-20-146,348.47,Sport,41
MON162,Persol,ln944,Cerclee,Papillon,Titane,Rouge,54-18-148,215.74,Casual,44
MON163,Oakley,nH578,Semi-cerclee,Ronde,Titane,Dore,55-14-146,173.01,Casual,21
MON164,Ray-Ban,Cd343,Invisible,Aviateur,Metal,Noir,52-16-139,241.6,Casual,12
MON165,Gucci,Ms374,Cerclee,Rectangulaire,Titane,Bleu,55-14-150,439.28,Casual,11
MON166,Ray-Ban,SH608,Invisible,Papillon,Titane,Rouge,51-18-138,57.33,Sport,49
MON167,Persol,dM633,Invisible,Rectangulaire,Titane,Transparent,50-18-137,211.4,Sport,2
MON168,Chanel,du398,Invisible,Ronde,Titane,Argent,56-19-139,447.52,Sport,25
MON169,Gucci,Yg943,Invisible,Papillon,Metal,Rouge,54-17-133,60.58,Casual,23
MON170,Persol,zz235,Cerclee,Ronde,Titane,Dore,53-20-139,84.45,Business,47
MON171,Chanel,pX881,Cerclee,Ronde,Titane,Noir,53-16-135,351.51,Luxe,27
MON172,Gucci,PV040,Cerclee,Ronde,Metal,Noir,50-17-144,154.05,Business,18
MON173,Chanel,un655,Cerclee,Rectangulaire,Plastique,Argent,54-19-133,377.4,Casual,3
MON174,Persol,eS684,Semi-cerclee,Ronde,Plastique,Bleu,60-19-135,413.16,Casual,3
MON175,Chanel,rA663,Semi-cerclee,Aviateur,Titane,Transparent,53-16-149,467.97,Luxe,0
MON176,Persol,Lr746,Invisible,Ronde,Metal,Transparent,58-17-131,447.46,Casual,48
MON177,Persol,pl595,Semi-cerclee,Papillon,Metal,Argent,52-20-138,191.58,Business,1
MON178,Chanel,Oa059,Cerclee,Aviateur,Metal,Dore,53-15-139,315.14,Casual,7
MON179,Ray-Ban,nU840,Semi-cerclee,Aviateur,Plastique,Noir,51-19-135,70.17,Casual,34
MON180,Chanel,Rl539,Invisible,Ronde,Plastique,Bleu,51-14-136,231.71,Luxe,31
MON181,Ray-Ban,lz254,Invisible,Ronde,Plastique,Transparent,58-14-144,55.86,Casual,16
MON182,Chanel,HM610,Invisible,Rectangulaire,Plastique,Dore,56-15-137,239.7,Business,3
MON183,Oakley,Ib422,Semi-cerclee,Papillon,Titane,Argent,52-15-132,230.25,Luxe,1
MON184,Oakley,CU736,Semi-cerclee,Aviateur,Plastique,Dore,55-19-142,253.22,Luxe,7
MON185,Oakley,Iv496,Semi-cerclee,Papillon,Plastique,Dore,52-18-137,239.12,Sport,2
MON186,Oakley,kM207,Cerclee,Ronde,Titane,Argent,52-15-135,415.14,Luxe,26
MON187,Oakley,RM206,Invisible,Rectangulaire,Plastique,Noir,59-15-139,172.05,Sport,37
MON188,Chanel,xI919,Semi-cerclee,Ronde,Plastique,Argent,54-14-133,184.88,Sport,47
MON189,Gucci,Qn643,Cerclee,Aviateur,Plastique,Dore,57-15-150,315.41,Business,34
MON190,Oakley,Dj581,Cerclee,Papillon,Plastique,Dore,51-19-143,189.88,Casual,5
MON191,Oakley,dD683,Semi-cerclee,Ronde,Titane,Rouge,52-17-143,80.21,Business,37
MON192,Persol,Tt257,Semi-cerclee,Ronde,Metal,Rouge,59-14-145,170.41,Business,17
MON193,Persol,px662,Invisible,Rectangulaire,Plastique,Argent,60-16-141,185.09,Sport,27
MON194,Gucci,Ir865,Invisible,Papillon,Metal,Bleu,59-14-146,176.23,Business,47
MON195,Persol,JY693,Cerclee,Ronde,Titane,Argent,52-18-150,433.86,Casual,12
MON196,Gucci,Sq216,Invisible,Rectangulaire,Titane,Noir,50-18-135,55.75,Business,45
MON197,Chanel,eJ384,Cerclee,Aviateur,Titane,Bleu,50-18-132,218.14,Business,14
MON198,Gucci,Lm147,Semi-cerclee,Ronde,Titane,Bleu,60-14-148,355.84,Casual,19
MON199,Persol,ei041,Invisible,Aviateur,Metal,Dore,50-14-141,275.46,Sport,8
MON200,Gucci,bS868,Invisible,Papillon,Titane,Bleu,52-15-147,350.83,Sport,38
MON201,Ray-Ban,VB146,Cerclee,Aviateur,Titane,Dore,60-15-142,208.13,Casual,43
MON202,Ray-Ban,VV399,Invisible,Rectangulaire,Metal,Bleu,50-19-132,258.43,Casual,8
MON203,Ray-Ban,CW953,Semi-cerclee,Papillon,Plastique,Noir,51-20-133,211.34,Business,19
MON204,Gucci,EA159,Semi-cerclee,Papillon,Titane,Noir,50-15-140,216.44,Sport,15
MON205,Oakley,eX201,Cerclee,Rectangulaire,Titane,Argent,57-20-132,283.65,Casual,5
MON206,Gucci,JU644,Invisible,Papillon,Metal,Transparent,54-18-130,63.06,Sport,12
MON207,Gucci,as447,Invisible,Ronde,Plastique,Transparent,51-17-140,370.89,Casual,26
MON208,Chanel,vx024,Invisible,Aviateur,Titane,Argent,54-20-149,404.19,Business,50
MON209,Oakley,bJ013,Invisible,Ronde,Titane,Argent,60-17-138,51.38,Casual,32
MON210,Persol,KB883,Semi-cerclee,Ronde,Titane,Noir,54-17-147,216.65,Luxe,40
MON211,Ray-Ban,Qg275,Cerclee,Rectangulaire,Metal,Transparent,54-19-131,479.42,Sport,46
MON212,Oakley,Jn994,Cerclee,Rectangulaire,Titane,Rouge,52-18-131,296.97,Sport,12
MON213,Persol,Xw544,Invisible,Ronde,Metal,Argent,52-18-130,325.74,Luxe,30
MON214,Persol,rN888,Cerclee,Rectangulaire,Titane,Bleu,50-15-136,241.37,Casual,16
MON215,Oakley,Dc980,Cerclee,Ronde,Plastique,Rouge,57-17-146,273.13,Business,39
MON216,Ray-Ban,IX363,Cerclee,Papillon,Plastique,Argent,60-15-143,461.84,Sport,13
MON217,Chanel,Ew526,Semi-cerclee,Papillon,Plastique,Bleu,58-20-131,69.85,Sport,34
MON218,Persol,DK131,Invisible,Rectangulaire,Plastique,Bleu,60-14-141,216.91,Business,6
MON219,Gucci,Nc473,Cerclee,Papillon,Plastique,Transparent,53-14-139,253.17,Sport,16
MON220,Ray-Ban,UR706,Cerclee,Rectangulaire,Plastique,Dore,52-18-138,149.37,Casual,46
MON221,Gucci,zc205,Invisible,Aviateur,Titane,Transparent,56-16-135,150.21,Sport,33
MON222,Persol,bM739,Invisible,Papillon,Titane,Rouge,53-14-146,164.02,Sport,21
MON223,Persol,LL816,Semi-cerclee,Ronde,Metal,Noir,59-18-131,64.19,Sport,23
MON224,Gucci,hH532,Invisible,Aviateur,Metal,Noir,55-15-145,294.26,Casual,41
MON225,Oakley,Ir218,Cerclee,Aviateur,Metal,Argent,56-14-146,251.29,Casual,28
MON226,Persol,TT377,Invisible,Aviateur,Metal,Rouge,50-14-130,265.61,Business,35
MON227,Oakley,Eg800,Cerclee,Papillon,Titane,Transparent,59-19-149,492.43,Sport,0
MON228,Persol,Tx386,Semi-cerclee,Papillon,Titane,Rouge,57-19-148,271.98,Business,11
MON229,Persol,NQ441,Semi-cerclee,Papillon,Plastique,Transparent,59-19-149,165.71,Sport,11
MON230,Gucci,mq063,Semi-cerclee,Aviateur,Plastique,Dore,60-18-133,394.27,Sport,15
MON231,Ray-Ban,Gi794,Semi-cerclee,Ronde,Plastique,Noir,51-17-140,143.91,Business,13
MON232,Persol,dR832,Invisible,Rectangulaire,Plastique,Noir,50-14-146,402.96,Business,6
MON233,Ray-Ban,rc814,Semi-cerclee,Aviateur,Plastique,Bleu,60-18-131,445.86,Casual,48
MON234,Ray-Ban,iw179,Invisible,Aviateur,Titane,Bleu,51-15-141,465.38,Business,47
MON235,Ray-Ban,hP078,Invisible,Papillon,Titane,Rouge,57-18-149,388.74,Business,19
MON236,Oakley,zj011,Semi-cerclee,Papillon,Plastique,Noir,57-20-133,495.97,Sport,19
MON237,Chanel,Gw844,Semi-cerclee,Papillon,Plastique,Bleu,57-14-136,269.36,Luxe,0
MON238,Gucci,ba284,Invisible,Papillon,Metal,Argent,51-19-130,326.64,Luxe,27
MON239,Chanel,aU575,Semi-cerclee,Papillon,Metal,Transparent,54-15-146,248.16,Sport,50
MON240,Gucci,CN704,Semi-cerclee,Rectangulaire,Titane,Argent,56-15-142,74.79,Sport,20
MON241,Oakley,DL344,Semi-cerclee,Ronde,Metal,Dore,50-14-138,262.29,Casual,4
MON242,Ray-Ban,xU033,Invisible,Ronde,Titane,Rouge,53-20-131,302.98,Luxe,22
MON243,Oakley,nK167,Cerclee,Papillon,Metal,Dore,58-15-131,427.48,Business,2
MON244,Persol,PT949,Invisible,Aviateur,Metal,Noir,55-17-130,367.25,Luxe,35
MON245,Chanel,HZ659,Invisible,Ronde,Plastique,Transparent,58-18-147,345.63,Sport,28
MON246,Ray-Ban,QQ072,Cerclee,Papillon,Titane,Bleu,56-19-140,484.64,Luxe,1
MON247,Gucci,KC303,Cerclee,Rectangulaire,Titane,Bleu,53-14-144,310.52,Luxe,46
MON248,Persol,aQ324,Cerclee,Papillon,Metal,Dore,58-20-136,369.1,Business,50
MON249,Oakley,iD003,Invisible,Rectangulaire,Metal,Rouge,57-17-138,206.24,Business,40
MON250,Chanel,mX191,Invisible,Rectangulaire,Titane,Bleu,57-19-132,423.27,Luxe,21
MON251,Ray-Ban,dF712,Invisible,Aviateur,Metal,Argent,56-16-131,338.91,Sport,44
MON252,Chanel,Zy295,Semi-cerclee,Ronde,Titane,Bleu,53-19-139,295.84,Sport,42
MON253,Ray-Ban,Hz819,Cerclee,Aviateur,Plastique,Transparent,54-18-146,191.89,Luxe,21
MON254,Gucci,Dl626,Cerclee,Rectangulaire,Plastique,Transparent,60-20-146,218.94,Casual,7
MON255,Persol,Kl336,Semi-cerclee,Aviateur,Plastique,Rouge,55-19-143,205.7,Luxe,46
MON256,Ray-Ban,TO777,Cerclee,Rectangulaire,Plastique,Argent,58-19-142,338.6,Business,4
MON257,Gucci,JO173,Invisible,Papillon,Titane,Argent,52-15-141,467.96,Sport,4
MON258,Chanel,TX869,Invisible,Ronde,Plastique,Bleu,55-16-150,416.85,Sport,25
MON259,Gucci,vS028,Cerclee,Papillon,Titane,Dore,57-14-141,450.22,Sport,9
MON260,Oakley,if858,Cerclee,Aviateur,Plastique,Argent,52-16-132,109.88,Luxe,28
MON261,Ray-Ban,tC697,Invisible,Papillon,Metal,Transparent,51-19-136,160.02,Casual,0
MON262,Chanel,GB072,Semi-cerclee,Papillon,Plastique,Argent,53-15-138,268.88,Luxe,43
MON263,Ray-Ban,Bi677,Invisible,Rectangulaire,Metal,Argent,59-20-147,426.31,Casual,1
MON264,Persol,RM325,Invisible,Aviateur,Titane,Bleu,52-19-130,397.0,Sport,43
MON265,Oakley,YE942,Cerclee,Papillon,Titane,Bleu,55-15-141,347.34,Casual,45
MON266,Oakley,lz555,Semi-cerclee,Papillon,Plastique,Rouge,57-16-136,454.8,Casual,35
MON267,Gucci,zl865,Cerclee,Rectangulaire,Metal,Argent,56-16-138,138.65,Luxe,38
MON268,Chanel,Wn200,Cerclee,Papillon,Metal,Dore,56-15-141,196.9,Casual,8
MON269,Oakley,cN065,Invisible,Aviateur,Metal,Noir,59-19-135,381.62,Business,39
MON270,Oakley,vg165,Semi-cerclee,Aviateur,Metal,Noir,53-14-142,417.19,Casual,32
MON271,Persol,IU183,Semi-cerclee,Ronde,Metal,Transparent,60-20-136,466.12,Business,42
MON272,Persol,RM905,Invisible,Ronde,Titane,Bleu,54-19-146,165.84,Casual,50
